date,home_team,away_team,winner,first_shooter,home_shot_first,home_team_won,year,is_recent,prior_matchup_count
2020-10-08,Slovakia,Republic of Ireland,Slovakia,Slovakia,1,1,2020,1,0
2020-10-08,Scotland,Israel,Scotland,Scotland,1,1,2020,1,0
2020-11-12,Serbia,Scotland,Scotland,Scotland,0,0,2020,1,0
2021-06-03,Mexico,Costa Rica,Mexico,Mexico,1,1,2021,1,2
2021-06-06,Honduras,Costa Rica,Honduras,Costa Rica,0,1,2021,1,1
2021-06-28,France,Switzerland,Switzerland,Switzerland,0,0,2021,1,0
2021-07-02,Peru,Paraguay,Peru,Paraguay,0,1,2021,1,0
2021-07-02,Switzerland,Spain,Spain,Spain,0,0,2021,1,0
2021-07-03,Uruguay,Colombia,Colombia,Colombia,0,0,2021,1,1
2021-07-06,Italy,Spain,Italy,Italy,1,1,2021,1,2
2021-07-06,Trinidad and Tobago,French Guiana,Trinidad and Tobago,French Guiana,0,1,2021,1,0
2021-07-06,Argentina,Colombia,Argentina,Colombia,0,1,2021,1,2
2021-07-06,Guatemala,Guadeloupe,Guadeloupe,Guatemala,1,0,2021,1,0
2021-07-11,England,Italy,Italy,Italy,0,0,2021,1,1
2021-07-16,Senegal,Eswatini,Senegal,Eswatini,0,1,2021,1,0
2021-07-18,Eswatini,Mozambique,Eswatini,Mozambique,0,1,2021,1,0
2021-07-18,South Africa,Senegal,South Africa,South Africa,1,1,2021,1,0
2021-12-11,Morocco,Algeria,Algeria,Algeria,0,0,2021,1,0
2021-12-18,Qatar,Egypt,Qatar,Qatar,1,1,2021,1,0
2022-01-23,Burkina Faso,Gabon,Burkina Faso,Gabon,0,1,2022,1,0
2022-01-26,Ivory Coast,Egypt,Egypt,Ivory Coast,1,0,2022,1,2
2022-01-26,Mali,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,0,0,2022,1,0
2022-02-03,Cameroon,Egypt,Egypt,Cameroon,1,0,2022,1,0
2022-02-05,Cameroon,Burkina Faso,Cameroon,Cameroon,1,1,2022,1,0
2022-02-06,Senegal,Egypt,Senegal,Senegal,1,1,2022,1,0
2022-03-29,Kazakhstan,Moldova,Kazakhstan,Moldova,0,1,2022,1,0
2022-03-29,Senegal,Egypt,Senegal,Senegal,1,1,2022,1,1
2022-06-13,Australia,Peru,Australia,Australia,1,1,2022,1,0
2022-06-14,Chile,Ghana,Ghana,Chile,1,0,2022,1,0
